canonical_dish_id,dish_price_id,note
1467,509,"霞味生炒鱔魚 大 -> dish_price_id=509"
1466,510,"霞味生炒鱔魚 中 -> dish_price_id=510"
1469,511,"霞味生炒鱔魚 小 -> dish_price_id=511"
1587,517,"鱔魚意麵 大 -> dish_price_id=517"
1586,516,"鱔魚意麵 中 -> dish_price_id=516"
1588,515,"鱔魚意麵 小 -> dish_price_id=515"
875,280,"白斬雞 半 -> dish_price_id=280"
872,279,"白斬雞 全 -> dish_price_id=279"
878,281,"白斬雞 腿 -> dish_price_id=281"
504,59,"招牌紅蟳米糕 大 -> dish_price_id=59"
504,169,"招牌紅蟳米糕 大 -> dish_price_id=169"
504,422,"招牌紅蟳米糕 大 -> dish_price_id=422"
506,170,"招牌紅蟳米糕 小 -> dish_price_id=170"
506,421,"招牌紅蟳米糕 小 -> dish_price_id=421"
698,275,"炭烤野生烏金 -> dish_price_id=275"
1019,641,"經典招牌甜湯 大 -> dish_price_id=641"
1021,642,"經典招牌甜湯 小 -> dish_price_id=642"
1018,640,"經典招牌甜湯 個人盅 -> dish_price_id=640"