dish_id,name_zh
1,現打果汁
4,柳橙汁
5,柳橙氣泡飲
6,可口可樂
7,蘋果西打
8,特級紅烏龍
448,紅燒鮑魚
10,茉莉綠
11,老欉紅
12,紅烏龍
13,高山青
14,法國依雲天然礦泉水
15,菊花普洱
16,花草茶
17,檸檬氣泡飲
18,聖佩洛氣泡水
19,桂花冬瓜檸檬
20,玫瑰蜜桃茶
21,白蓮霧茶
22,東方美人茶
23,特製冷泡茶
24,特級炭焙烏龍
25,金萱
26,鮮搾柳丁汁
27,澳式精釀有機康普茶檸檬萊姆薄荷
28,澳式精釀有機康普茶檸檬覆盆莓
449,紅燒大排翅
30,台灣芒果汁
31,玫瑰水潤膠原飲
32,鮮乳坊-冬瓜奶
450,雞仔豬肚鱉
3,酸梅氣泡飲
2,桂花酸梅飲
948,果香黃金肋排
949,古味龍膽石斑
451,砂鍋鴨
452,砂鍋魚頭
453,砂鍋鮭魚頭
454,花菇黃金雞湯
455,菜蟳白菜鍋
456,薑絲花鰷湯
457,枸杞花鰷湯
458,魷魚螺肉蒜
459,鮑魚螺肉蒜
460,鹹蛋四寶湯
461,波士頓龍蝦
462,花菇排翅燉雞湯
463,2020年炒飯王香茅雞腿炒飯盤
464,午仔魚米粉湯
465,烏魚子腱佐蒜味椒鹽
466,麻油蒜苗烏魚膘
531,傳統紅燒魚翅
532,香菇清燉腳筋
533,蠔油樹子石斑
534,蔥爆彩椒蟳肉
535,五味九孔雙拼
536,花菇排翅燉雞
537,北寄貝豬肚湯
538,五柳枝鮮海魚
539,蒜蓉清蒸大蝦
540,招牌手路六品
541,蔥油清蒸波龍
542,上湯一品海參
543,鮑魚干貝豬肚
544,蠔油樹子龍膽
545,彩椒松阪鮮菇
546,迎賓烏子參品
547,清蒸深海明蝦
548,紅燒頂級鮑魚
134,炭烤野生烏魚子
135,三色拼盤
136,手工粉腸
137,經典蟳丸
138,招牌蝦棗
139,豬肝捲
140,煙燻鴨
141,白斬雞
142,招牌紅蟳米糕
143,爆焱生炒鱔魚
144,生炒鱔魚意麵
145,避風塘金沙肋排
146,筍乾老滷腿庫
147,樹子清蒸石斑
148,五柳枝鮮魚
149,花膠手剝蝦羹
150,鮑魚四寶豬肚
151,四寶清燉大翅
152,花膠鮑魚燉雞
153,阿霞招牌甜湯
154,造型流沙包
155,2025桌菜7888
156,2025桌菜12888
157,2025桌菜20888
159,烏金招牌拼盤(78)
160,鮮蝦雙拼(78)
161,花膠手剝蝦羹(78)
162,招牌紅蟳米糕(78)
163,鮑魚四寶豬肚(78)
164,筍乾老滷腿庫(78)
165,爆焱生炒鱔魚(78)
166,阿霞招牌甜湯(78)
167,烏金招牌拼盤(128)
168,烏金招牌拼盤(208)
169,鮮蝦雙拼(128)
170,花膠手剝蝦羹(128)
171,招牌紅蟳米糕(128/208)
172,鮑魚四寶豬肚(128)
173,筍乾老滷腿庫(128/208)
174,爆焱生炒鱔魚(128)
175,阿霞招牌甜湯(128/208)
176,花菇紅燒鮑魚(208)
177,蒜蓉蒸海龍蝦(208)
178,五柳枝海上鮮(208)
179,四寶清燉大翅(208)
180,龍蟹瑞氣滿羹(208)
181,特選精緻點心(208)
182,白飯
183,煙燻鴨餐盒
184,司機便當
185,思慕魚脆餅(1盒)
186,手工泡菜
549,頂級雙蟳米糕
550,四寶清燉大翅
551,樹子蒸紅鰷班
552,彩椒生炒干貝
553,添壽長壽麵
554,鹽水鮮蝦拼盤
555,經典干貝豬肚
556,樹子清蒸石斑
557,干貝酥有機蔬
558,豪華六品拼盤
559,花菇四寶大翅
560,北寄貝豬肚盅
561,五柳枝海時魚
562,阿霞生炒鱔魚
567,寶島時令水果
568,避風塘金沙排
569,鮮露清蒸龍蝦
570,櫻蝦醬炒帶子
571,烏金手作拼盤
572,經典杏仁豆腐
573,海陸手作拼盤
575,五柳枝龍膽斑
576,帶子手剝蝦羹
577,特製紅蟳米糕
578,櫻蝦有機鮮蔬
579,樹子清蒸午魚
580,雞油有機時蔬
581,開胃虱目魚餅
582,蟹腿肉鮮蝦羹
583,精選特製點心（蛇包）
584,經典招牌甜湯
219,猴頭菇炒飯
220,什錦菇素湯
221,蔬果和風盤
222,黃金白玉捲
223,田園時蔬素米糕
224,季節時令蔬
225,翡翠髮菜羹
226,寶島鮮水果
227,霞招牌甜湯
228,素意麵
229,素米粉
624,八品玲瓏喜迎客
625,頂級鮑魚全雞盅
231,椒香麻口素帶子
232,松露素米糕
234,特製素小點
235,特製素米糕
236,玟素菜根香
237,麻油猴頭菇
238,阿霞招牌甜湯
240,炭烤野生烏金
241,煙燻鴨
242,白斬雞
243,玉米雞
244,手工粉腸
245,自製蟳丸
246,招牌炸蝦棗
247,炸豬肝捲
248,涼拌海蜇絲
249,白酌豬心
250,藥膳豬心
251,川燙軟絲
253,老滷大腸頭
255,雪幸子
256,老滷豬腳
257,鹽水活蝦
258,虱目魚嶺
259,鹽酥玉晶蝦
260,蔥串肥腸
333,麻油烏魚膘
262,五味九孔鮑/3顆
335,酥炸烏魚膘
326,香檸大蝦球
265,烏金醬豆腐
266,烏金醬鮮菇沙拉
343,芒果蝦球
268,拼盤雞肉
269,拼盤鴨肉
270,金沙生捲
271,金沙大蝦
272,香芒大蝦
275,經典手工拼盤
276,蔬果和風盤
273,虱目魚餅
278,象拔蚌魚子醬沙拉
279,錦繡饗宴拼盤
280,彩霞饗宴拼盤
281,錦霞饗宴拼盤
282,海味鮮蔬沙拉
283,彩椒海蜇
284,白灼豬心
285,思慕魚脆餅
626,黃金蟹肉娃菜
287,五味軟絲
627,櫻蝦醬炒雙脆
628,筍乾老滷腿庫
629,瑤柱酥娃娃菜
291,阿里山咖啡香腸
292,五味九孔鮑
293,山海筍乾
294,煙燻去骨雞腿
295,涼筍
296,四品綜合拼盤
297,四品隨選
298,五品綜合拼盤
299,六品綜合拼盤
300,豪華六品拼盤
301,經典五品拼盤
302,烏魚子拼盤
303,三品隨選
304,蝦棗
305,粉腸
306,蟳丸
307,白酌豬心
308,川燙軟絲
309,海蜇絲
310,雪幸子
311,烏魚子
312,滷大腸頭
313,軟絲
314,涼拌海蜇絲
315,豬肝捲
316,雞肉盤
317,鴨肉盤
318,肉盤
319,思慕魚脆餅
320,櫻花蝦白玉糕
321,南煎肝
322,金甘蟹
323,紅燒鰻魚
327,蒜味脆皮豬耳
328,蝦球
329,香芒蝦球
330,香芒脆絲
331,山海筍乾
336,廚房當日特選
337,咖啡香腸
338,造型流沙包
339,金沙豆腐
340,冷筍
341,主廚時蔬
344,蒜蓉蒸生蠔
345,紅糟肉
346,客家小炒
347,百香果昔小蕃茄
348,招牌紅蟳米糕
349,處女蟳
630,經典山海拼盤
631,烏魚子炒飯
632,烏金山海拼盤
633,招牌生炒鱔魚
634,經典紅蟳米糕
635,招牌杏仁甜湯
636,贈送asha果汁啤酒乙瓶
637,銀耳蓮子甜湯
638,東港櫻花蝦鮮肉包6入
639,蟹肉海鮮羹
640,山海手作拼盤
350,紅蟳
351,大沙母
352,招牌米糕
353,蝦仁蛋炒飯
354,野生烏金炒飯
356,經典炒炊粉
358,台式炒意麵
360,大沙母米糕
361,米糕一起蒸
362,櫻花蝦米糕
363,櫻花蝦鰻魚米糕
364,蒲燒鯛米糕
365,鱔魚麵
366,五味干貝
367,紅蟳米糕
368,櫻花蝦蒲燒鰻米糕
369,黃金白玉卷
370,猴頭菇素米糕
371,紅蟳米糕（乙支）
373,蒲燒鰻魚米糕
374,松葉蟹櫻花蝦米糕
375,櫻花蝦炒飯
376,主廚炒飯
377,蛋炒飯
378,紅燒魚翅羹
379,蟹肉手剝蝦羹
380,花菇清燉蹄筋
381,四寶清燉大翅
398,極品佛跳牆
383,傳統干貝豬肚
384,鮑魚豬肚湯
385,北寄貝豬肚湯
386,松茸豬肚湯
387,北寄貝豬肚(罐頭)
388,黑蒜全雞湯
389,黑蒜雞腿湯
390,黑蒜雞-個人盅
391,北寄貝豬肚盅
392,花膠鮮蝦羹
393,干貝豬肚湯
394,花膠四寶燉盅
395,螺貝干貝豬肚湯
396,金沙海鮮羹
401,雞仔豬肚鱉
402,筍乾腿庫
403,霞味生炒鱔魚
404,生炒生卷
405,鱔魚意麵
406,生炒生卷麵
407,扁魚娃娃菜
408,雞油炒時蔬
409,蠔油蔥爆蟳肉
410,蠔油生炒干貝
411,桂花風散翅
412,桂花蟳肉
413,古味南煎肝
641,筍乾老滷豬腳
415,嚴選海大蝦
416,野生海明蝦
417,避風塘金沙肋排
418,金沙鳳梨
419,櫻花蝦醬炒干貝
420,奶油咖哩戰斧
421,奶油咖哩海鮮
422,奶油咖哩大蝦
423,奶油咖哩螃蟹
424,金沙中卷
425,瑤柱酥絲瓜
426,經典生炒鱔魚
427,蛤蠣絲瓜
428,季節清炒什錦蘆筍
429,香檸大蝦球
430,海鮮醬炒雙脆
431,桂花松葉蟹
432,黃金娃娃菜
433,黃金蟹肉娃娃菜
434,瑤柱酥娃娃菜
435,牡蠣絲瓜
436,大豆苗
437,虱目魚一夜乾
438,龍膽石斑
439,時令鮮魚
440,黃金鯧
441,石斑
442,紅鰷清肉
443,紅鰷全魚
642,爆焱生炒鱔魚
445,西瓜綿龍膽石斑
446,特製午魚繡球
447,熟成虱目魚肚
643,雞油扁魚娃菜
644,紅燒魚翅羹
645,蠔油干貝蟳肉
646,魷魚螺肉蒜湯
647,海鮮醬娃娃菜
648,時令鮮果甜湯
649,豪華山海拼盤
650,富貴海皇羹
651,蒜蓉蒸海龍蝦
486,時令水果
487,經典招牌甜湯
488,經典布丁
489,特製點心
490,特製點心(10顆)
491,金甘蟹禮(3個)
492,KKDAY雙人套餐
493,KKDAY四人套餐
467,酥炸塔香烏魚膘佐蒜味椒鹽
468,花鰷湯
469,菊花鮮蔬
470,炸茄餅
471,川七絲瓜煎
472,煙燻龍膽石斑
473,頂極鮑魚佛跳牆
474,澳洲水姑娘龍蝦
475,香芒大蝦球
476,香芒脆絲
477,響螺螺肉蒜
478,頂級鮑魚全雞
479,頂級清湯佛跳牆
507,2025單人套餐1380元
508,2025單人套餐1680元
509,2025單人套餐2880元
510,2025雙人套餐2680元
511,2025雙人套餐4880元
512,2025-9800桌菜
513,2025-12800桌菜
514,2025-15800桌菜
515,2025-18800桌菜
516,2025-25800桌菜
480,生蠔
481,五味鮮蚵
482,鮮蚵海鮮羹
483,油漬鮮蚵炒飯
484,鮮蚵炒米粉
485,鮮蚵魷魚螺肉蒜
519,烏子豪華大拚
520,蟹肉手剝蝦羹
521,招牌紅蟳米糕
522,傳統干貝豬肚
523,霞味生炒鱔魚
524,鹽水白灼鮮蝦
525,寶島時令鮮果
526,手作布丁
527,阿霞經典甜湯
528,炭烤野生烏子
529,六色經典拼盤
530,鮮蝦炸路雙品
574,豬肝捲
585,爆焰生炒鱔魚
586,花菇干貝豬肚
587,思慕海鮮鮮蔬
588,特製招牌甜點
589,樹子龍膽石斑
590,蒜香金沙大蝦
591,魚翅球扒娃菜
592,開胃烏金雙品
593,經典五品拼盤
594,精選特製點心
595,迎賓開胃雙品
596,烏金六品拼盤
597,六六大順喜迎客
598,金沙波龍蝦
599,豪華紅蟳米糕
600,上湯帶子鮮蔬
601,鮮猛活正龍蝦
602,經典老滷腿庫
603,特製紅蟳蒸米糕
604,頂級清湯佛跳牆
605,煙燻龍膽石斑
606,上湯海鮮娃菜
607,十全十美迎賓客
608,迎賓開胃四小福
609,富貴花好月圓
610,五福大拼盤
611,蒜蓉蒸波龍蝦
612,樹子蒸龍虎斑
613,蜷尾家冰淇淋
614,迎賓五路拼
615,六六大順福滿盈
616,清蒸鮮活龍蝦
617,上湯貝酥鮮蔬
621,響螺干貝豬肚湯
622,干貝酥娃娃菜
623,精緻時令小點
652,清湯佛跳牆盅
653,海鮮醬炒雙脆
654,烏金開胃三品
655,野生烏金雙品
656,鮮蝦炸路雙拼
657,海皇帶子羹
658,螺貝干貝豬肚
659,黃金高山娃菜
660,烏金迎賓六品
661,花菇清燉蹄筋
662,蒜蓉蒸海龍
663,時令時鮮魚
664,蒜蓉蒸大蝦
665,虱目魚脆餅（老闆招待）
790,金牌啤酒
791,海尼根啤酒
792,18天生啤酒
793,蘇格登12年
794,詩貝總裁精選
795,百齡罈17年
796,格蘭利威13年雪莉桶
797,麥卡倫12年雙桶
798,百富12年雙桶
799,噶瑪蘭
800,皇家禮炮21年
801,約翰走路藍牌
802,日本明石信威士忌梅酒
803,白鶴梅酒
804,軒尼詩干邑白蘭地VSOP
805,紹興酒陳年
806,紹興酒十年窖藏
807,玉泉清酒
808,金門高粱38度
809,金門高粱58度
810,氣泡酒
811,小瓶葡萄酒
812,白葡萄酒
813,紅葡萄酒
815,台灣生啤
816,汀士頓12年
817,馬告白啤酒
818,SHASHA果昔啤酒
819,裸雀初次雪莉桶
820,阿霞自製啤酒第二瓶半價
821,馬爹利藍淬燕
822,格蘭利威12年首席三桶
823,亞伯樂12年雙桶
824,大摩18年單一麥芽
825,開運清酒
826,清酒
827,軒尼詩xo
828,葛瑪蘭經典單一麥芽威士忌
892,台式炒意麵
885,一口烏
916,野生烏金雙品
917,烏金迎賓六品
918,八品玲瓏喜迎客
874,三色拼盤
875,四色拼盤
876,炭烤野生烏金2兩
877,炭烤野生烏金4兩
878,五味九孔鮑(3顆)
879,手工泡菜
880,古法煙燻鴨
884,烏魚子（整匹）
887,紅鰷石斑
888,極品佛跳牆
889,魷魚螺肉蒜
890,清蒸紅蟳
891,松葉蟹櫻蝦米糕
893,清蒸處女蟳
895,生卷意麵
896,時令鮮果
898,筍乾腿庫
899,魷魚螺肉蒜
900,花菇黃金雞湯
901,砂鍋鴨
902,雞仔豬肚鱉
903,砂鍋鮭魚頭
904,花菇排翅燉雞
905,鮑魚螺肉蒜
906,頂級清湯佛跳牆
907,波士頓龍蝦/隻
908,紅燒鮑魚
909,紅燒大排翅
910,頂級鮑魚全雞湯
911,菜蟳白菜鍋
912,雞腿彌月油飯
913,紅蛋彌月油飯
914,素食彌月油飯
920,經典五品拼盤
921,豪華六品拼盤
922,蒜蓉蒸大蝦
923,蒜蓉蒸海龍
924,鮮猛活正龍蝦
925,鮮蝦炸路雙拼
926,五味九孔雙拼
927,避風塘金沙排
928,黃金蟹肉娃菜
929,筍乾老滷腿庫
930,蟹肉手剝蝦羹
931,海皇帶子羹
932,招牌紅蟳米糕
933,特製紅蟳米糕
934,時令時鮮魚
935,花菇干貝豬肚
936,螺貝干貝豬肚
937,花菇清燉蹄筋
938,四寶清燉大翅
939,頂級清湯佛跳牆
940,霞味生炒鱔魚
941,五柳枝龍膽斑
942,海鮮醬炒雙脆
943,精緻時令小點
944,黃金高山娃菜
945,寶島時令鮮果
946,經典招牌甜湯
29,澳式精釀有機康普茶